RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28
102001,0,United States,country,,1133.2810880303464,1139.490875397609,1148.0426207833284,1156.7380070405172,1165.3293823765475,1172.818097587982,1178.3385486916131,1181.824803378401,1183.65906450043,1184.040368494707,1184.43521482833,1184.857519401269,1187.8095288389989,1192.4682313823068,1198.3090972492705,1206.0130365740501,1213.952572464172,1221.934021787303,1226.3021661784098,1228.3274423877178,1228.0682526401333,1226.7610145769352,1225.579189027792,1224.9386443451806,1229.3119629243906,1236.7882641000838,1247.9080247251006,1257.3748318455584,1266.362893558595,1273.2510908319903,1277.8160364141527,1279.246928845557,1279.464287486242,1277.875214325343,1277.736150700412,1278.5601027443008,1283.2518916378315,1290.4132562100438,1299.6311195911576,1308.8326592442536,1316.7071730528246,1323.898172352639,1328.9543786836305,1331.8626702034578,1331.0250125695231,1330.3716154095396,1330.9795573064791,1333.0748611073861,1336.985395004006,1342.7415065860032,1352.6461822702468,1362.4954505026826,1372.1077997513448,1379.7576609916882,1385.1860721465414,1387.8781917528192,1387.3826686601471,1385.8754229738033,1384.7614716612768,1385.916471161285,1390.7619618114434,1398.5854075688922,1406.887825814112,1408.1990855924523,1408.0915139649803,1409.0072340041374,1414.2589625609817,1415.6865826240046,1413.222011703711,1410.3360362726098,1408.8091838470384,1410.7870620327194,1418.663120901203,1430.595233146434,1445.6626823438169,1463.6964606075362,1487.6808277319183,1515.971069998265,1545.4932100347467,1572.9301220042157,1595.155232328141,1609.0360541663417,1618.1954926097885,1627.142554355259,1637.5073454134965,1651.9181674766846,1666.9318948532266,1686.465091228687,1706.4143170816849,1727.005987496007,1744.0253263862,1753.6152192773259,1755.60545400771,1751.0658794834242,1745.1931689422076,1742.430488254841,1744.3462748009485,1750.8559218029104,1763.282005162268,1773.9258762213444,1785.7242956365903,1792.5263068188187,1800.8586667271666,1805.0924832795647,1805.3832145307142,1801.8146733055892,1796.6584424342886,1794.1322503768292,1797.1418239469947,1804.8464553093575,1815.4803254912235,1826.217326799001,1837.2345990929757,1846.7430082524736,1853.963092125525,1857.0034094867524,1856.7324953754246,1852.9791189988116,1849.5541381609455,1847.094155570441,1851.2887834661349,1859.780019601163,1872.2903656437488,1883.1347115139633,1891.9757892207406,1898.0780390532493,1900.9785152420832,1901.6800417326815,1900.0911964410554,1896.44693513221,1890.7278221671004,1886.2867711699023,1887.7258282404161,1895.0814292256794
394913,1,"New York, NY",msa,NY,2152.8642799020095,2167.5210071294773,2185.8422847848983,2204.124600550188,2218.2094868439212,2233.0241574413717,2243.051977790897,2252.7488572101865,2256.768784504,2255.1125865437357,2246.0352451272306,2237.0073660269863,2234.418874845501,2238.770956261162,2247.16919207678,2259.1955176949655,2273.4121182391027,2287.905710250478,2300.1469414621506,2304.0410627728206,2304.6221304667934,2297.4204135405976,2293.186027755746,2281.696771493989,2278.7528624852457,2279.554570601785,2291.374136555584,2305.3666677183337,2322.4216694467095,2336.3454466421467,2346.166774834995,2348.426109827803,2346.6967519489517,2333.953460814349,2319.3507691186674,2306.661840946032,2305.4518828417254,2312.1805563389726,2325.2134139870013,2343.9791123046803,2361.716221528663,2378.1220592276777,2389.708117740803,2398.0835143509307,2398.27244815155,2389.919403761028,2379.742013718919,2370.3918036161526,2369.799684497497,2378.759469924273,2393.935077735666,2411.216752556659,2430.5100336376913,2451.282716565718,2466.128245763068,2473.3712627819655,2471.5668668140174,2467.0920442953166,2454.981390015949,2448.2308386814543,2447.5457682393885,2460.2406421674273,2469.103828754479,2463.2665860834977,2448.349986161066,2427.1112880877035,2404.0768113106574,2360.248893935558,2310.842054766871,2271.1827703383074,2241.1485141453604,2228.644495388006,2227.9829819426627,2241.8595577851906,2262.287483670827,2288.1744722919893,2329.8995801263504,2381.601135845411,2441.4672903057135,2498.5545556578563,2545.124175716431,2577.1057385391796,2598.397941843437,2617.8338268115194,2641.3295289643584,2672.199181876512,2708.9086204066016,2747.7851342843783,2795.9355571664046,2846.544621370562,2891.8607571751727,2918.088486400972,2922.058598898395,2908.338938292537,2883.897599803162,2865.944949958921,2864.4841321101667,2877.2351928918947,2902.6733566637436,2933.3102552129567,2967.556718668278,2995.3750411622636,3015.9486885482347,3025.3839390032276,3024.575879878709,3010.7018504920634,2992.009224693445,2980.2178628199626,2985.611529857152,3003.302241371846,3031.0397306396667,3058.071797621831,3087.46762168775,3113.5503827079974,3129.5327905768395,3134.968411762169,3125.84832684982,3112.9305360084427,3103.521073353102,3099.2877710806256,3109.08718833759,3125.972279754525,3154.4525947309157,3183.495539517451,3211.098795715287,3242.000576096561,3271.187945357746,3291.583636174205,3288.8816933313683,3276.190179119438,3255.50618768516,3243.75172760219,3241.3661159500366,3258.384199753898
753899,2,"Los Angeles, CA",msa,CA,1741.8275266987723,1752.6912669781696,1767.9849419059472,1782.9730570432453,1797.8617304815652,1809.22045986503,1821.539690720907,1831.9233392615952,1841.8045974427162,1846.483428963711,1851.0490940481707,1856.9563719127927,1866.9241088116469,1877.213780856118,1888.301639286045,1898.4367531495375,1912.1443547976976,1924.5295139195382,1936.7810494167036,1942.9197534129837,1947.7618487187187,1948.6990794128485,1950.7473418015006,1953.5424799109094,1967.039967224844,1983.2578671470576,2004.8853090921366,2018.4364439734284,2031.7342353434888,2040.796123041735,2050.7384426380468,2056.15050271755,2060.9634320797795,2061.5508843874195,2065.668291626273,2069.95908517982,2080.807112111918,2092.8369453285063,2103.377363903141,2112.008250899545,2119.804927649344,2131.441486478059,2141.597601616737,2150.312166712677,2153.8973795899205,2157.845483807968,2163.27611419672,2168.7055105294216,2173.763456753806,2177.412700786411,2189.0400371053497,2199.6698378391466,2212.4356678873896,2221.387389391558,2229.578226536417,2234.9004114425184,2237.8990254411347,2239.387951935421,2242.5138304931847,2246.267571960943,2254.0996035984012,2258.7926349459926,2258.999870711244,2247.3771816647018,2238.0680618507185,2233.4908994021234,2235.8242366208387,2235.1667505346627,2233.8315608754083,2234.1541394642627,2235.8486000665216,2235.849756772366,2245.9360987928617,2256.780295559947,2271.77720599156,2282.6894411689473,2301.42757254484,2334.762046792225,2378.7085185823044,2429.7066898,2468.0944814425416,2492.888949248317,2506.8691795528675,2523.7916659378866,2542.720820058815,2567.3452094848967,2591.810317152607,2621.5414599939772,2645.9975948136184,2669.5356163407855,2688.0650134132707,2702.5153004769822,2707.9440205817996,2703.429956148568,2697.486438050171,2690.036688475081,2689.293783845801,2694.012364622668,2708.1763691532606,2718.519296209209,2728.0456850175965,2735.387440445672,2748.2528765133293,2758.375408695241,2761.4704504204283,2758.348161099734,2748.4996580407615,2743.0911036539446,2746.9617121355304,2757.910232029815,2770.732059582525,2779.6520327294197,2790.2977813054217,2801.695220435509,2813.6101647719406,2820.2309447146163,2824.3870920384206,2821.1931864735675,2816.257353359644,2810.032143907484,2829.7869355506496,2852.631353089179,2877.048611607826,2878.935166907821,2884.428716389909,2889.534828616025,2892.8079650028744,2893.9112673159407,2893.4733293082354,2890.5626221256866,2883.618896566897,2874.69401299114,2877.160651256651,2884.124774777187
394463,3,"Chicago, IL",msa,IL,1358.1944886456943,1365.287059043705,1375.185650377819,1384.606622902613,1394.471486337961,1403.9424466634734,1408.3216926546286,1410.8095426121201,1405.7619931890144,1398.8274930690436,1392.4134708890554,1392.960474784883,1401.0893291006485,1410.297319758099,1421.5886252926043,1428.9966405152538,1437.4534087228053,1444.561503667102,1450.4745758485838,1453.605807544343,1447.0911944445922,1437.732425439467,1426.345886663205,1420.9296923594457,1426.7839751286351,1440.1777952134426,1458.3588659670136,1471.6400379740662,1483.0450015023525,1488.8878996244744,1490.652914978303,1486.1487004443577,1480.4933462256213,1469.9774565580349,1463.567697963169,1461.238875115028,1469.4930443374164,1480.7799212675438,1493.381414210857,1504.2451015931656,1514.273617726506,1523.2082320212453,1527.3638619912908,1524.7076022776246,1514.3255889845107,1503.191272365016,1496.8109801156625,1497.8527898265288,1506.536005344531,1516.5474514450575,1532.1134089729921,1545.4335014688343,1557.8466058186336,1564.5425855478452,1567.0737288850082,1566.1867137635409,1560.9551632195978,1554.393184342866,1547.5894771008197,1542.8292644397561,1551.4603741456726,1563.0760091136774,1578.1352279625369,1579.253654121929,1578.697193744946,1576.3712253315528,1576.1259718559418,1570.883816628032,1556.675652464582,1536.7022971613583,1520.5886997459604,1514.5616363534477,1517.723517444621,1528.2714220847927,1544.3010334444657,1568.6438752778681,1594.5655459982174,1619.1683232320313,1637.639780629635,1649.9649575704254,1657.2518352515183,1656.6894538711788,1657.3103568333777,1662.7216250756217,1675.8104060209444,1691.2262824505406,1710.6441160655304,1734.4658854401387,1759.7844520006424,1779.6470058793213,1794.861061569038,1802.085199303909,1803.2973515504616,1799.1149961742333,1793.9405613209055,1794.2999265167434,1801.5392658743833,1816.1043790139106,1834.2573713887793,1853.016887944217,1874.0386462100269,1891.277155891288,1902.926933825618,1908.7237336658825,1905.4090622405326,1898.4886261911338,1891.6622227593273,1893.8425528741554,1902.8456279280024,1917.6198447041556,1932.7964322438168,1952.0704333028384,1968.7445318019702,1984.6891953074778,1993.630351425365,1997.475188111184,1996.3964858026109,1994.7019134172401,1993.6628263399875,1996.6953370635276,2005.0387703735166,2021.884398385632,2041.9195638471488,2064.1051901552473,2084.2403298752256,2102.8188371006618,2113.7107502302965,2117.7830493091105,2115.912064086127,2110.206028898795,2104.9224416376915,2103.057257558016,2114.03541812518,2132.285103756572
394514,4,"Dallas, TX",msa,TX,1042.935942448136,1047.6716876971263,1055.0667996602267,1066.1249295558873,1075.2967200950466,1083.2733555956574,1089.5279793028203,1092.6654275103865,1093.9007831715069,1093.3008893942451,1094.125217556431,1095.8426174297917,1097.9149617854453,1103.6358941417116,1111.4417094819016,1121.733208299404,1129.8029255833592,1136.9279388168943,1141.421339442863,1144.4022658334763,1144.21104700557,1145.0715351474323,1144.4625863574877,1145.4071000412944,1150.287387816726,1156.3127641066048,1168.2638142922856,1176.6793552894287,1188.8038659894412,1194.982282159056,1199.6293035778194,1200.648161618914,1199.8444035120078,1197.9117403339915,1199.5581827378246,1199.879977094167,1203.995208365584,1209.5891967619684,1216.5956785214544,1224.2808839750849,1229.3064325875648,1237.0671846009166,1240.4335477534732,1241.3223793639465,1238.4357199648812,1241.068995978817,1242.5041070776094,1245.4223278130873,1246.989541594966,1251.0047624823837,1261.1149911268365,1269.7378184194768,1278.325210691271,1284.6379010557084,1287.412947682497,1289.086669953417,1287.812240512692,1287.66582187022,1286.0277853373807,1283.346815143996,1285.2646345321473,1290.910871065375,1298.8198949663167,1299.8669984541834,1299.627172019778,1300.4784551908456,1304.2436155359237,1307.9422687925403,1309.778388680169,1312.0317661791044,1312.6813182147473,1316.0759868698558,1323.8041778008103,1335.1613793109009,1346.9040427738687,1363.9213754667503,1387.0775783590175,1418.1476525025257,1449.717553180242,1479.4623593103206,1501.160281628945,1514.2569176114573,1524.1582252934822,1533.5098821415552,1544.667993988924,1556.4834095206816,1569.2802583266073,1587.203796857371,1608.5144692369174,1635.229356790216,1654.893657562756,1661.7388395889527,1656.3437118010058,1642.6653177532298,1632.6126413132015,1625.1089871290553,1624.702970076038,1627.1720711539137,1638.0586481150917,1642.7429972861705,1650.6329298526719,1652.361642251133,1659.1873224872695,1659.1140295510818,1654.6038680321412,1646.1262172112342,1638.1302363522916,1629.9356356526541,1626.603285888753,1625.7441304840295,1629.9750588600239,1635.5143802023688,1642.3312938634779,1648.5646488928176,1652.1600812535921,1652.1771851947067,1646.3736430428237,1639.4945496992957,1630.5546898968785,1623.6940627159577,1621.4676859032913,1627.8594719706823,1638.6099838953037,1650.5622763593651,1655.9313671576301,1658.3094692916166,1655.5974645871147,1651.8981334604812,1646.7766980184508,1640.3099190213957,1633.8357520897264,1628.087262805468,1626.0182583079998,1630.3725705029492
394692,5,"Houston, TX",msa,TX,1194.9137351259278,1198.5236672968017,1205.0593507636074,1215.9051251126155,1225.0493504218948,1233.241518572496,1234.5226021471174,1235.6314114869697,1233.3368221362498,1230.4240353714486,1226.8945352745227,1223.8450584266984,1223.999811775036,1225.8159419085093,1231.3675806382842,1236.0730099576517,1239.3443032157597,1240.7976633642036,1240.0500847633,1237.486077894517,1231.999460302446,1228.1741570360784,1222.6123874149073,1220.5641941956837,1221.380639132013,1229.1737287279427,1237.3855521808944,1242.5375347359534,1250.0432504824785,1251.600168230124,1252.0568417197032,1247.128039404169,1254.0120071682147,1261.7333455770754,1272.1296438263741,1277.1425509317114,1280.2482830040444,1286.5082017772722,1288.690543115302,1295.5509494344,1297.8111421976187,1302.6447504000225,1302.6928636907871,1301.068349956041,1297.5621047147442,1297.6333245255448,1299.9891882866689,1299.5632478457815,1300.0146076317703,1298.1921779587472,1305.0826474125251,1310.4836370630233,1319.5564611026446,1325.3054971277122,1328.84285749159,1328.1911974812667,1325.027664715158,1323.7839330407314,1323.6802372239456,1326.9798366093894,1330.0797211041208,1335.7066742736727,1341.005878566895,1338.007744057856,1332.540961930633,1328.464795252367,1332.9123629571375,1338.0358260134378,1338.248940790451,1339.8741408919238,1341.1138541264286,1341.7553395674838,1345.8322921274844,1348.1595716054953,1357.6720536596993,1369.7623560874813,1390.7233002499736,1417.0927401668318,1442.3016813859374,1465.246080294625,1477.8263520001296,1484.481932504035,1487.0230421255005,1490.8723509821825,1496.4343818425853,1506.9214663588555,1517.499949066878,1531.3524259690485,1542.9339301096195,1558.1238512955101,1569.2891141905993,1575.5379981737792,1572.6323828267787,1566.6784771250868,1558.8056431647276,1556.5985790082373,1558.8121288279938,1566.8004478362027,1578.601839893628,1585.3219520517762,1594.4322688790141,1601.2710832684654,1607.7409501226527,1608.7707563373183,1603.600052993668,1597.942590633982,1591.9851319843738,1590.326673808758,1591.752472083834,1596.3520110815284,1600.5863353550985,1608.5814600005851,1617.2860407478533,1625.9264170251038,1630.3462862591746,1632.9045298766523,1633.012036043999,1630.8330466141952,1625.4802422393757,1622.1286941941005,1621.6907221412678,1626.6754198742422,1635.5851329453617,1641.9639575278463,1645.3531992694807,1639.679568853619,1640.8509292157903,1639.3505805187147,1640.6828529222869,1634.4667493174882,1627.6505420946241,1623.13137502779,1621.0324915813715,1619.5244699196417
395209,6,"Washington, DC",msa,VA,1667.527810228331,1674.503978926123,1686.247016923216,1694.3378972185437,1702.696929846374,1709.1669900208994,1713.1630600853891,1710.7680841712374,1710.2735065609259,1705.913786911885,1705.3347858160419,1700.2478567524895,1703.5622764555633,1707.6290047044577,1716.683511141858,1723.7074624974493,1731.3869531847142,1737.6182731611668,1741.9927176389438,1743.7610710655676,1739.8787799144961,1734.5860517034598,1729.118867523413,1726.9459950195155,1732.0556179919597,1743.893047939606,1756.9419807509219,1767.973478240335,1774.4028950379484,1781.7831176456723,1784.4647393373643,1784.0799086438824,1781.6008687370945,1777.1231827024233,1772.5083539519014,1769.6099845296437,1773.0926428436173,1779.466527510648,1791.3396469214044,1802.5076956680118,1813.1986104184516,1821.5548097891901,1826.6074247115744,1831.279743475059,1826.0804269155124,1823.8676533503472,1823.3489580504813,1828.7096992121628,1833.442265312479,1840.823422413739,1851.2315366115229,1862.501489707653,1872.7102221722253,1880.4583084162741,1885.3659967306662,1886.3701072223946,1886.6320504264077,1881.3114208573559,1875.8530611350893,1875.673789821691,1883.5474379831219,1892.048892013427,1902.8293761513469,1902.9999381473635,1901.973920107587,1895.7084861316873,1894.5117628565356,1890.522215105514,1877.9733174226287,1860.9423924679495,1841.3001421468991,1830.1236524904884,1832.4794287859784,1841.1064666414609,1852.1123446229963,1866.777703773676,1893.7229025378315,1930.8091625621983,1967.19867926288,1997.2258491254304,2015.2579797254837,2024.8129940516644,2025.532154919912,2025.0854004122448,2027.019938683491,2038.314868256423,2056.305841377206,2079.78957007985,2104.689579561717,2130.4043159513485,2154.3092884207504,2165.47418313705,2165.4387469993976,2149.272498598689,2132.8176523909046,2119.3040304804,2121.021449620696,2133.383074623046,2157.7642852958884,2173.350740465524,2191.2002785206646,2202.2843253105184,2218.8307670674194,2228.440250265501,2230.047418691553,2225.764721526104,2217.1802913584042,2210.0763919110723,2212.889158903959,2226.948254493221,2247.3680788657,2267.2786681842613,2287.377509476634,2307.5104172890688,2323.404645235464,2330.0440178527333,2327.863163213768,2318.880852896281,2308.8609945897642,2302.2365969338316,2310.2285327427544,2326.5814895245258,2348.8130991481135,2362.824634725163,2371.786975707471,2376.2264440290814,2375.1287607501026,2370.4387497753764,2360.104633200569,2346.40838716032,2330.1890174498403,2319.0168281847587,2320.1940111102786,2331.413621679168
394974,7,"Philadelphia, PA",msa,PA,1178.9045870505795,1185.5164245393576,1198.3543870266417,1204.773707701981,1210.8920044405982,1213.7625297434217,1215.948236938761,1216.2435579406551,1215.3290206128536,1214.1215714217271,1210.3993392306206,1207.7088142806963,1208.9696105349224,1217.206688496501,1226.2114553973308,1235.3704240781922,1241.6152236214614,1249.0179635100526,1250.0752495228571,1249.9565300715678,1246.266236443426,1244.8497521379568,1245.9771109017868,1246.7525996142904,1251.142326767337,1257.480017416258,1268.722048985602,1277.4169312243446,1282.9811677169619,1284.0586043345552,1284.448689864587,1284.1670607819026,1283.3870392020071,1283.0736282652163,1282.2853104423023,1284.7166805523793,1287.7193142347085,1295.8656024182649,1306.9410354091945,1316.561049610873,1325.045540534139,1328.6891709784,1329.6612085876852,1328.247660901476,1325.8922951014645,1327.3146206059128,1330.7200338346402,1332.0230963562585,1336.383670461236,1342.7914511670494,1356.2364964614549,1367.4429009175724,1374.7557722886006,1382.2534645301046,1385.8348490473804,1385.960313843917,1382.2595096868574,1380.7268355266765,1380.7284294217802,1382.6612565092184,1386.090809736345,1397.1641041366365,1409.0486493503647,1414.3713692730648,1415.3081287971443,1416.3519079487544,1421.9678123207248,1421.9793715824553,1420.731969763615,1419.106213405304,1419.9454589101435,1422.7636985413649,1428.712664211842,1437.4258857919071,1446.6637820232838,1461.866029599477,1482.7483143634734,1503.9129411868266,1522.0338854798338,1537.2739606146336,1545.2554188988852,1553.6876712213525,1562.0699041111147,1577.8076121526192,1589.0010599782854,1600.160712912638,1611.1629149774742,1625.446544478461,1639.9611261375871,1654.0929622665722,1665.2891166242384,1670.0521032410688,1669.7762911035402,1664.5669721263955,1662.0641963440953,1659.1767061612416,1663.5461164850242,1666.7175946489087,1679.7128971928307,1689.4249709579176,1702.1204749232782,1707.2068626663047,1714.5709166589033,1719.524590146073,1724.0968053131394,1724.6611961807891,1722.4256966145642,1720.2679489521538,1722.3394142106733,1731.1654881734878,1741.5048232235179,1751.7029961179342,1761.2747784869941,1770.239429297064,1776.5969883723446,1780.299746436659,1782.2472914363466,1784.3323835494,1786.9984516999657,1791.1664168826749,1796.587392691702,1802.0990917110944,1806.0152841457857,1811.20256917365,1817.7101516558967,1826.2912823385245,1838.5913620334522,1844.2745775612223,1848.6119651886902,1846.9187304256857,1845.6485889162102,1846.405365480814,1848.4012338521354,1858.8106246974312
394856,8,"Miami, FL",msa,FL,1464.119276980527,1469.8151714544802,1475.5085338097615,1482.3526598301205,1490.9121710764794,1499.1627528223762,1508.102850888517,1515.4813352472172,1526.6029334050859,1534.0725444042332,1543.2659922237242,1546.124623454722,1549.672616703089,1550.965187247515,1553.333745010234,1554.8432505749063,1554.3834390248232,1554.7931303539112,1556.7778850627976,1559.6343545750947,1564.6428609331244,1567.4128524393582,1571.0171547430168,1569.9025373518334,1574.6854286530913,1578.1630760906385,1586.313935344645,1588.4977758392179,1590.9591565696412,1593.6586788774075,1598.923530999104,1606.171570843979,1612.9136695550433,1618.251920101581,1619.4882086763428,1620.5546500004955,1622.282812810257,1625.1237485739566,1628.803677484914,1632.8686041548256,1636.9884967006476,1642.04245820068,1647.3068672998286,1654.1361285431078,1659.117657740165,1666.136679126645,1672.113420082039,1677.4552595452376,1676.577415332289,1675.168420941713,1675.4996409373678,1678.6499178027836,1683.8472864542161,1687.8706023718016,1692.9596889751897,1696.7717502543985,1702.97514891301,1712.5937181311633,1722.9113154974373,1729.3105190174967,1731.0339830058572,1733.6471410210386,1734.841433421625,1728.7274539195187,1720.0128388669532,1718.5242892790889,1724.1191787353691,1729.542474132719,1735.0514021745805,1747.6667419103107,1765.4169420420515,1781.1066236303302,1796.3163195090754,1818.8413214463615,1847.2066070461597,1881.0205822002172,1919.7165385378444,1969.152179270016,2033.6283699962535,2097.290564319482,2154.3618865345347,2195.6380513156187,2239.524085427188,2284.8779705527927,2326.0501387896247,2359.32426246909,2394.9080280391945,2435.6004040597377,2474.791800484692,2501.636903977471,2521.191938440868,2529.254532655011,2536.955680099314,2539.345910470419,2545.11876036815,2547.8874349070848,2549.340860933425,2551.3730692989325,2557.4534722916646,2563.1949242113583,2569.465491966816,2572.3789625594936,2576.1818166850303,2580.1585589967813,2584.3620031442165,2591.3715271977826,2593.489693590897,2588.8680522953036,2587.209654992118,2592.7860405159818,2603.817882808271,2611.843236080338,2615.352429801292,2618.896714983006,2624.292983539303,2629.126034783787,2634.274787763197,2634.7533858245984,2633.9497225443633,2632.7977158094627,2634.910994590698,2639.70226451718,2646.655379181421,2650.9529897471916,2653.87026316677,2654.552853712476,2655.454100535629,2655.525069122877,2654.0595185776924,2652.861337299181,2651.507207463255,2649.860091319902,2649.1126089811464,2654.1438680133983
394347,9,"Atlanta, GA",msa,GA,987.7325859720509,992.4175597640206,995.6310812676737,1005.2776923397882,1013.1974321349048,1024.2852168717914,1029.7635211989418,1032.8095865622054,1033.037591943784,1033.8706036539515,1034.7603505436862,1038.567693559326,1042.0948042907705,1048.673659594844,1055.2287221413255,1062.6695846914502,1071.6743617146212,1080.6566903813248,1089.0646429239223,1092.727545865451,1092.9891905821335,1093.4234273396278,1093.9217389354565,1096.0981958141247,1099.7908569079607,1107.4940669073078,1118.2327787516024,1129.9514312843569,1142.0463248113776,1152.296128105761,1160.7041303589397,1163.6572402627971,1165.6385263752652,1162.6990057349778,1164.8044488453404,1166.1648826278347,1173.2534596749233,1180.7107813606099,1191.700316110719,1203.0691175243524,1214.1010762890282,1222.7598887570953,1228.3579313568257,1230.3513547387727,1229.8041758566656,1235.4533926083268,1240.5740751943224,1246.2560759880387,1250.9106934971308,1257.9506148717558,1269.94603770072,1281.1528647992188,1291.8122279320335,1300.0749458853093,1304.270283388027,1308.1498907161342,1309.9711724110048,1308.7526930372237,1305.7812779617457,1305.7818015408827,1310.4703891072243,1318.471675232946,1327.04357834407,1331.4580054082635,1335.9319387507026,1343.0318844252863,1357.4089705926015,1370.909784104221,1379.2822836210623,1384.5287672371085,1388.935337216321,1395.77052116846,1409.7699057931738,1427.630074676149,1446.1264515427727,1467.042508639059,1493.4684603021992,1530.6817451342365,1570.3954172230785,1610.8531596792764,1641.6055150467519,1660.0012542586994,1666.7978489413783,1667.3493746389154,1670.005009947312,1674.453394713883,1686.3519649775342,1699.3000393517104,1719.4053501379276,1738.6460722690663,1760.4261766493473,1771.1786809109028,1772.574890439123,1762.1084966235865,1750.7231741931673,1745.3886998191156,1743.2672973968345,1748.2582655916508,1760.135090791368,1768.2823168007922,1774.816420708346,1774.3838199200093,1779.1052527778245,1777.6775543095853,1773.6874694337364,1761.6268700741691,1749.6298819909978,1740.0584348563827,1742.6295486325866,1752.1350365630512,1759.7171125053756,1765.8022838903564,1771.137698202774,1778.0961005479473,1782.4053706686857,1781.7258352764522,1781.3762046469851,1775.0030866554682,1768.6230620723366,1762.159932256695,1766.9166888210334,1779.8704884615443,1792.970715815625,1801.388253724085,1805.61816378777,1809.88347262166,1816.248065909772,1821.573257798706,1824.9305837589181,1820.509417097656,1812.2589974521984,1803.8318339328753,1804.6414033134508,1807.9933149144365
